Position,2PtGoals,Assists,CausedTurnovers,FaceoffLosses,FaceoffPercentage,FaceoffWins,FirstName,Goals,GoalsAgainst,GroundBalls,LastName,SavePercentage,Saves,Turnovers,score,Team,AwayScoreFinal,AwayTeam,HomeScoreFinal,HomeTeam,GameDateTime,Missed2PtGoals,MissedGoals,game_name
Attack,0,0,0,0,0,0,Christian,0,0,1,Cuccinello,0,0,3,-5,Waterdogs,7,Waterdogs,9,Archers,7/28/2020 19:00,NA,NA,Archers_Waterdogs_07_28_2020
Attack,0,2,0,0,0,0,Kieran,1,0,1,McArdle,0,0,3,9,Waterdogs,7,Waterdogs,9,Archers,7/28/2020 19:00,NA,NA,Archers_Waterdogs_07_28_2020
Attack,0,1,0,0,0,0,Wes,0,0,1,Berg,0,0,0,6,Waterdogs,7,Waterdogs,9,Archers,7/28/2020 19:00,NA,NA,Archers_Waterdogs_07_28_2020
Attack,0,1,0,0,0,0,Ben,0,0,2,Reeves,0,0,0,7,Waterdogs,7,Waterdogs,9,Archers,7/28/2020 19:00,NA,NA,Archers_Waterdogs_07_28_2020
Attack,0,0,0,0,0,0,Ryan,1,0,2,Drenner,0,0,4,-2,Waterdogs,7,Waterdogs,9,Archers,7/28/2020 19:00,NA,NA,Archers_Waterdogs_07_28_2020
Defense,0,0,0,0,0,0,Noah,0,0,1,Richard,0,0,1,-1,Waterdogs,7,Waterdogs,9,Archers,7/28/2020 19:00,NA,NA,Archers_Waterdogs_07_28_2020
Defense,0,0,1,0,0,0,Brodie,0,0,1,Merrill,0,0,0,8,Waterdogs,7,Waterdogs,9,Archers,7/28/2020 19:00,NA,NA,Archers_Waterdogs_07_28_2020
Defense,0,0,4,0,0,0,BJ,0,0,4,Grill,0,0,0,32,Waterdogs,7,Waterdogs,9,Archers,7/28/2020 19:00,NA,NA,Archers_Waterdogs_07_28_2020
Defense,0,0,0,0,0,0,Chris,0,0,0,Sabia,0,0,0,0,Waterdogs,7,Waterdogs,9,Archers,7/28/2020 19:00,NA,NA,Archers_Waterdogs_07_28_2020
Defense,0,0,0,0,0,0,Brian,0,0,0,Karalunas,0,0,0,0,Waterdogs,7,Waterdogs,9,Archers,7/28/2020 19:00,NA,NA,Archers_Waterdogs_07_28_2020
Defense,0,0,0,0,0,0,Patrick,0,0,1,Foley,0,0,0,1,Waterdogs,7,Waterdogs,9,Archers,7/28/2020 19:00,NA,NA,Archers_Waterdogs_07_28_2020
Defense,0,0,1,0,0,0,Ryland,0,0,2,Rees,0,0,0,9,Waterdogs,7,Waterdogs,9,Archers,7/28/2020 19:00,NA,NA,Archers_Waterdogs_07_28_2020
Faceoff,0,0,1,3,62.5,5,Drew,0,0,0,Simoneau,0,0,0,20,Waterdogs,7,Waterdogs,9,Archers,7/28/2020 19:00,NA,NA,Archers_Waterdogs_07_28_2020
