status,league,pregame_home_wp,away_ID,traversals_70_30,tension_game_score,home_ID,elo_transfer,home_score,game_date,away_score,ID
completedFromNCAA,NCAA D1 Men,0.742903,28,1,108.0,64,7.404,16,2022-02-13,8,10002
completedFromNCAA,NCAA D1 Men,0.298895,64,0,106.0,14,18.307,8,2022-02-19,10,10003
completedFromNCAA,NCAA D1 Men,0.336968,64,0,126.0,1,30.921,11,2022-02-26,16,10004
completedFromNCAA,NCAA D1 Men,0.924511,69,1,176.0,64,2.154,21,2022-03-01,4,10005
completedFromNCAA,NCAA D1 Men,0.743307,41,0,89.0,64,29.282,8,2022-03-05,10,10006
completedFromNCAA,NCAA D1 Men,0.242514,64,0,116.0,2,28.274,10,2022-03-12,15,10007
completedFromNCAA,NCAA D1 Men,0.898716,84,1,125.0,64,2.532,16,2022-03-19,6,10008
completedFromNCAA,NCAA D1 Men,0.219205,64,0,95.0,46,21.356,11,2022-03-26,14,10009
completedFromNCAA,NCAA D1 Men,0.308585,64,0,136.0,27,36.946,9,2022-04-02,17,10010
completedFromNCAA,NCAA D1 Men,0.0491891,64,1,143.0,9,28.287,5,2022-04-09,15,10011
completedFromNCAA,NCAA D1 Men,0.968986,16,1,195.0,64,0.855,20,2022-04-16,10,10012
completedFromNCAA,NCAA D1 Men,0.862086,18,1,149.0,64,4.206,14,2022-04-19,7,10013
completedFromNCAA,NCAA D1 Men,0.992977,4,1,173.0,64,0.194,23,2022-04-23,6,10014
scheduled,NCAA D1 Men,0.215591,64,,,22,,,2022-04-29,,10015
completedFromNCAA,NCAA D1 Men,0.789574,49,1,126.0,62,5.711,16,2022-02-19,8,10016
completedFromNCAA,NCAA D1 Men,0.502101,49,0,76.0,23,9.496,14,2022-02-26,12,10017
completedFromNCAA,NCAA D1 Men,0.875972,70,1,111.0,49,2.606,11,2022-03-02,7,10018
completedFromNCAA,NCAA D1 Men,0.535925,49,0,87.0,66,10.753,12,2022-03-08,9,10019
completedFromNCAA,NCAA D1 Men,0.906849,49,1,153.0,3,2.814,24,2022-03-12,6,10020
completedFromNCAA,NCAA D1 Men,0.762498,50,0,136.0,49,60.519,10,2022-03-19,18,10021
completedFromNCAA,NCAA D1 Men,0.455794,8,0,140.0,49,10.983,12,2022-03-26,10,10022
completedFromNCAA,NCAA D1 Men,0.0850677,49,1,65.0,57,8.899,12,2022-04-02,13,10023
completedFromNCAA,NCAA D1 Men,0.342194,42,0,105.0,49,15.492,14,2022-04-07,12,10024
completedFromNCAA,NCAA D1 Men,0.507318,49,0,131.0,58,19.572,16,2022-04-09,7,10025
completedFromNCAA,NCAA D1 Men,0.374438,38,0,129.0,49,37.157,6,2022-04-16,14,10026
completedFromNCAA,NCAA D1 Men,0.0487803,49,1,133.0,26,27.255,6,2022-04-22,16,10027
completedFromLiveStats,NCAA D1 Men,0.904917,49,1,80.0,52,2.094,17,2022-04-24,13,10028
scheduled,NCAA D1 Men,0.268611,14,,,49,,,2022-04-30,,10029
completedFromNCAA,NCAA D1 Men,0.852301,12,1,137.0,11,4.001,21,2022-02-05,11,10030
completedFromNCAA,NCAA D1 Men,0.888389,12,1,106.0,27,1.91,13,2022-02-12,9,10031
completedFromNCAA,NCAA D1 Men,0.415473,12,1,50.0,54,15.676,11,2022-02-19,8,10032
completedFromNCAA,NCAA D1 Men,0.6171,17,1,35.0,12,4.688,9,2022-02-28,8,10033
completedFromNCAA,NCAA D1 Men,0.294219,68,1,111.0,12,32.285,9,2022-02-27,15,10034
completedFromNCAA,NCAA D1 Men,0.430416,34,0,143.0,12,24.882,17,2022-03-05,8,10035
completedFromNCAA,NCAA D1 Men,0.670374,12,0,138.0,15,46.702,10,2022-03-12,16,10036
completedFromNCAA,NCAA D1 Men,0.190751,12,1,58.0,56,20.702,10,2022-03-19,13,10037
completedFromNCAA,NCAA D1 Men,0.387412,12,0,146.0,16,37.549,9,2022-03-26,16,10038
completedFromNCAA,NCAA D1 Men,0.567727,84,0,79.0,12,23.475,8,2022-04-02,10,10039
completedFromNCAA,NCAA D1 Men,0.257531,12,0,121.0,60,36.882,4,2022-04-09,13,10040
completedFromNCAA,NCAA D1 Men,0.811387,67,1,82.0,12,4.756,12,2022-04-16,8,10041
completedFromLiveStats,NCAA D1 Men,0.588637,12,1,57.0,36,5.592,11,2022-04-23,10,10042
scheduled,NCAA D1 Men,0.844571,53,,,12,,,2022-04-30,,10043
completedFromNCAA,NCAA D1 Men,0.568228,53,0,75.0,56,17.3,9,2022-01-29,4,10044
completedFromNCAA,NCAA D1 Men,0.722871,53,0,164.0,31,8.407,22,2022-02-05,13,10045
completedFromNCAA,NCAA D1 Men,0.266991,16,2,40.0,53,11.206,8,2022-02-12,9,10046
completedFromNCAA,NCAA D1 Men,0.396128,17,0,40.0,53,19.993,11,2022-02-19,13,10047
completedFromNCAA,NCAA D1 Men,0.630552,53,0,56.0,85,3.83,13,2022-02-22,12,10048
completedFromNCAA,NCAA D1 Men,0.383786,71,0,170.0,53,37.878,23,2022-02-26,3,10049
completedFromNCAA,NCAA D1 Men,0.837516,53,1,113.0,15,3.021,16,2022-03-01,12,10050
completedFromNCAA,NCAA D1 Men,0.839752,53,1,148.0,45,4.585,15,2022-03-05,4,10051
completedFromNCAA,NCAA D1 Men,0.15738,68,1,149.0,53,38.854,2,2022-03-11,16,10052
completedFromNCAA,NCAA D1 Men,0.334069,53,2,112.0,19,39.632,8,2022-03-19,17,10053
completedFromNCAA,NCAA D1 Men,0.929612,53,1,66.0,35,1.427,15,2022-03-26,8,10054
completedFromNCAA,NCAA D1 Men,0.337731,67,0,74.0,53,23.004,15,2022-04-02,11,10055
completedFromNCAA,NCAA D1 Men,0.846838,53,1,59.0,36,2.419,12,2022-04-09,9,10056
completedFromNCAA,NCAA D1 Men,0.5712,60,0,123.0,53,15.32,13,2022-04-16,8,10057
completedFromNCAA,NCAA D1 Men,0.230662,84,0,69.0,53,10.307,11,2022-04-23,12,10058
completedFromNCAA,NCAA D1 Men,0.311963,34,1,81.0,50,18.531,9,2022-02-12,11,10059
completedFromNCAA,NCAA D1 Men,0.88038,50,1,177.0,41,3.405,22,2022-02-22,9,10061
completedFromNCAA,NCAA D1 Men,0.310361,50,2,49.0,25,11.674,12,2022-02-26,13,10062
completedFromNCAA,NCAA D1 Men,0.80019,50,1,127.0,43,4.735,17,2022-03-05,11,10063
completedFromNCAA,NCAA D1 Men,0.665264,50,0,113.0,7,46.401,6,2022-03-08,12,10064
completedFromNCAA,NCAA D1 Men,0.587334,44,0,137.0,50,39.073,11,2022-03-14,16,10065
completedFromNCAA,NCAA D1 Men,0.278065,58,0,99.0,50,27.653,12,2022-03-26,8,10067
completedFromNCAA,NCAA D1 Men,0.0589399,50,1,204.0,26,29.72,8,2022-04-19,18,10068
completedFromNCAA,NCAA D1 Men,0.418224,8,0,99.0,50,28.244,3,2022-04-16,7,10069
scheduled,NCAA D1 Men,0.927906,57,,,50,,,2022-04-30,,10070
completedFromNCAA,NCAA D1 Men,0.409013,15,0,163.0,9,47.219,7,2022-02-12,19,10071
completedFromNCAA,NCAA D1 Men,0.366616,15,1,60.0,5,23.473,13,2022-02-19,8,10072
completedFromNCAA,NCAA D1 Men,0.859293,55,0,99.0,15,38.203,9,2022-02-26,11,10073
completedFromNCAA,NCAA D1 Men,0.566776,15,0,142.0,38,16.717,16,2022-03-05,6,10074
completedFromNCAA,NCAA D1 Men,0.528378,86,0,178.0,15,20.356,16,2022-03-19,4,10075
completedFromNCAA,NCAA D1 Men,0.517696,15,1,86.0,40,28.195,11,2022-03-26,14,10076
completedFromNCAA,NCAA D1 Men,0.617064,87,0,89.0,15,9.361,8,2022-04-02,4,10077
completedFromNCAA,NCAA D1 Men,0.683993,15,0,127.0,24,3.08,11,2022-04-09,10,10078
completedFromNCAA,NCAA D1 Men,0.923664,10,1,183.0,15,2.58,22,2022-04-16,10,10079
completedFromNCAA,NCAA D1 Men,0.268789,15,1,97.0,69,32.062,7,2022-04-23,14,10080
scheduled,NCAA D1 Men,0.713696,15,,,51,,,2022-04-26,,10081
scheduled,NCAA D1 Men,0.962212,59,,,15,,,2022-04-30,,10082
completedFromNCAA,NCAA D1 Men,0.269134,43,0,60.0,56,17.334,14,2022-02-05,16,10083
completedFromNCAA,NCAA D1 Men,0.600572,43,0,87.0,36,24.299,12,2022-02-12,14,10084
completedFromNCAA,NCAA D1 Men,0.881679,4,1,183.0,43,3.607,23,2022-02-19,7,10085
completedFromNCAA,NCAA D1 Men,0.432063,43,0,134.0,34,41.293,7,2022-02-26,15,10086
completedFromNCAA,NCAA D1 Men,0.551177,43,0,127.0,5,13.177,12,2022-03-12,7,10087
completedFromNCAA,NCAA D1 Men,0.536215,30,0,104.0,43,5.36,12,2022-03-15,11,10088
completedFromNCAA,NCAA D1 Men,0.615107,43,1,77.0,18,9.43,13,2022-03-19,9,10089
completedFromNCAA,NCAA D1 Men,0.764335,54,0,136.0,43,6.608,14,2022-03-26,6,10090
completedFromNCAA,NCAA D1 Men,0.294623,33,1,51.0,43,11.505,9,2022-04-02,10,10091
completedFromNCAA,NCAA D1 Men,0.641914,43,0,120.0,46,3.664,13,2022-04-10,12,10092
completedFromNCAA,NCAA D1 Men,0.904441,20,1,182.0,43,3.707,23,2022-04-17,7,10093
completedFromNCAA,NCAA D1 Men,0.915425,25,1,100.0,43,1.572,19,2022-04-22,16,10094
scheduled,NCAA D1 Men,0.557775,43,,,21,,,2022-04-29,,10095
completedFromNCAA,NCAA D1 Men,0.31235,86,0,61.0,55,18.537,6,2022-02-19,8,10096
completedFromNCAA,NCAA D1 Men,0.344413,55,0,154.0,70,19.777,9,2022-03-05,11,10097
completedFromNCAA,NCAA D1 Men,0.162185,38,0,76.0,55,18.03,8,2022-03-08,7,10098
completedFromNCAA,NCAA D1 Men,0.738591,4,0,159.0,55,7.162,17,2022-03-19,10,10099
completedFromNCAA,NCAA D1 Men,0.828026,55,1,91.0,29,3.92,12,2022-03-22,6,10100
