devittes,sog,faceoff_win_rate,on_keeper_sog_faced,expected_goals_allowed,player,faceoffs_taken,usage_adjusted_EGA,EGA_per_game,shooting_pct,EGA,excess_saves,games_appeared_in,share_of_team_assists,save_pct,turnover_rate,faceoff_EGA,faceoff_wins,team_play_shares,penalties,caused_turnovers,excess_saves_per_sog,goals_allowed,excess_goals_scored,team_ID,assists,goals,offensive_EGA,excess_goals_per_shot,sog_faced,ID,turnovers,team_listed_role,shots_faced,defensive_EGA,faceoff_losses,weighted_team_play_shares,expected_goals_scored,on_keeper_rate_faced,sog_rate,seasons_played,sog_rate_faced,gbs,shots
58.0,63.0,,,,Logan Wisnauskas,0.0,2.58914,3.86159,0.47619,46.3391,,12.0,0.227273,,0.154674,0.189938,0,0.0745728,2.0,0.0,,,-0.671139,3,30.0,40.0,43.9563,-0.00798975,,1520,12.0,A,,2.1929,0,0.102504,40.6711,,0.75,5.0,,16.0,84.0
2.0,6.0,,,,Bubba Fairman,0.0,1.33015,0.64751,0.375,7.77012,,12.0,0.0151515,,0.12775,2.08932,0,0.0243397,3.0,8.0,,,-0.901479,3,2.0,3.0,3.09172,-0.112685,,1529,3.0,M,,2.58909,0,0.0310267,3.90148,,0.75,5.0,,23.0,8.0
33.0,34.0,,,,Eric Malever,0.0,2.8215,2.25018,0.44186,27.0022,,12.0,0.136364,,0.0942688,0.0,0,0.0398757,2.0,0.0,,,-1.913,3,18.0,19.0,25.7877,-0.0444883,,16151,4.0,A,,1.21451,0,0.0560619,20.913,,0.790698,2.0,,10.0,43.0
,,,,,Noah Beacham,,,,,,,,,,,,,,,,,,,3,,,,,,20706,,M,,,,,,,,1.0,,,
,,,,,Dante Trader,,,,,,,,,,,,,,,,,,,3,,,,,,20707,,M,,,,,,,,1.0,,,
-3.0,1.0,,,,Matt Rahill,0.0,1.32089,0.547236,0.5,6.56683,,12.0,0.00757576,,0.260363,0.189938,0,0.0207147,0.0,16.0,,,0.0969205,3,1.0,1.0,0.882259,0.0484603,,1536,5.0,D,,5.49464,0,0.0253727,0.903079,,0.5,5.0,,16.0,2.0
4.0,11.0,,,,Roman Puglise,0.0,1.55605,0.902313,0.642857,10.8278,,12.0,0.00757576,,0.242667,2.65913,0,0.0289937,5.0,6.0,,,2.17814,3,1.0,9.0,6.93002,0.155582,,1521,6.0,M,,1.2386,0,0.0357044,6.82186,,0.785714,5.0,,24.0,14.0
1.0,4.0,,,,Gabe Goforth,0.0,5.54706,0.459622,0.142857,1.83849,,4.0,0.0,,0.0,0.0,0,0.00414293,0.0,1.0,,,-2.22522,3,0.0,1.0,1.67314,-0.317889,,16152,0.0,M,,0.165348,0,0.00469761,3.22522,,0.571429,2.0,,0.0,7.0
0.0,0.0,,,,Matthew Kopp,0.0,-2.88259,-0.119424,,-0.358272,,3.0,0.0,,0.0,0.0,0,0.00207147,2.0,1.0,,,,3,0.0,0.0,0.0,,,16153,0.0,D,,-0.358272,0,0.002391,,,,2.0,,1.0,0.0
0.0,1.0,,,,Chase Cope,0.0,2.14185,0.0266566,0.0,0.0266566,,1.0,0.0,,0.0,0.0,0,0.000622278,0.0,0.0,,,-0.553372,3,0.0,0.0,0.0266566,-0.553372,,2553,0.0,M,,0.0,0,0.000707047,0.553372,,1.0,4.0,,0.0,1.0
