possession_seq,game_state,goalie_ID,shooter_ID,possession_elapsed,man_up,team_ID,assister_ID,time_elapsed,team_odds,game_ID,shot_clock_remaining
2.0,-1.0,127,1520,21.0,0,3,1529,540.0,0.567,9393,32.0
1.0,0.0,127,1520,37.0,0,3,1522,645.0,0.657,9393,36.0
2.0,3.0,127,1523,72.0,0,3,16151,1281.0,0.849,9393,8.0
2.0,6.0,127,1529,75.0,0,3,1519,1875.0,0.93,9393,5.0
1.0,7.0,127,1523,20.0,0,3,1526,1895.0,0.931,9393,60.0
1.0,8.0,127,1522,37.0,0,3,16151,1987.0,0.936,9393,43.0
1.0,6.0,127,1523,77.0,0,3,1525,2831.0,0.974,9393,0.0
1.0,7.0,127,1520,27.0,0,3,1522,2922.0,0.978,9393,53.0
1.0,8.0,149,16156,54.0,0,3,1522,3260.0,0.989,9393,18.0
5.0,-3.0,3361,1519,103.0,1,3,1520,888.0,0.398,9395,39.0
2.0,-1.0,3361,1523,66.0,0,3,1525,1234.0,0.469,9395,14.0
1.0,0.0,3361,1535,7.0,0,3,1522,1344.0,0.637,9395,70.0
1.0,3.0,3361,1525,41.0,0,3,1522,1635.0,0.916,9395,39.0
1.0,2.0,3361,1522,24.0,0,3,1525,2511.0,0.763,9395,42.0
1.0,3.0,3361,1529,0.0,0,3,1523,2625.0,0.891,9395,75.0
1.0,2.0,3361,1529,0.0,1,3,1520,3084.0,0.903,9395,80.0
1.0,0.0,98,1520,45.0,0,3,1525,439.0,0.569,9208,34.0
1.0,0.0,98,16151,31.0,0,3,1520,738.0,0.614,9208,33.0
1.0,1.0,98,1520,0.0,0,3,1535,804.0,0.621,9208,74.0
2.0,2.0,98,821,89.0,1,3,1519,911.0,0.72,9208,62.0
1.0,3.0,98,1522,36.0,0,3,1525,947.0,0.808,9208,44.0
1.0,4.0,98,1523,41.0,0,3,1520,1175.0,0.866,9208,35.0
1.0,4.0,98,1523,46.0,0,3,1520,1789.0,0.925,9208,34.0
2.0,3.0,98,1523,41.0,0,3,1525,2783.0,0.886,9208,38.0
1.0,4.0,98,1520,18.0,0,3,1522,3193.0,0.987,9208,61.0
1.0,6.0,98,1522,33.0,1,3,1529,3378.0,0.993,9208,61.0
1.0,7.0,98,1523,0.0,0,3,1522,3439.0,0.995,9208,76.0
1.0,8.0,98,1520,71.0,0,3,821,3510.0,0.997,9208,9.0
1.0,0.0,3361,1523,28.0,0,3,1520,28.0,0.517,9207,52.0
1.0,1.0,3361,1522,38.0,0,3,1529,248.0,0.649,9207,42.0
2.0,-1.0,3361,1520,69.0,0,3,16151,1434.0,0.505,9207,2.0
1.0,-1.0,3361,1524,2.0,0,3,1536,1572.0,0.495,9207,76.0
1.0,-1.0,3361,1523,26.0,0,3,1520,1797.0,0.536,9207,54.0
2.0,0.0,3361,1523,24.0,0,3,1522,1992.0,0.571,9207,56.0
1.0,2.0,3361,1520,36.0,0,3,1525,2873.0,0.818,9207,44.0
1.0,4.0,3361,1523,0.0,0,3,16151,3004.0,0.968,9207,80.0
1.0,5.0,3361,1525,49.0,0,3,1519,3137.0,0.985,9207,31.0
1.0,7.0,3361,1522,35.0,0,3,16151,3317.0,0.991,9207,41.0
1.0,-1.0,248,1519,0.0,1,3,1523,446.0,0.518,9206,80.0
1.0,-2.0,248,1519,30.0,0,3,1520,622.0,0.442,9206,50.0
2.0,0.0,248,1520,76.0,0,3,1523,793.0,0.618,9206,4.0
1.0,-2.0,248,1520,74.0,0,3,1523,1663.0,0.426,9206,6.0
1.0,-1.0,248,1519,0.0,0,3,1525,1707.0,0.529,9206,80.0
1.0,2.0,248,821,0.0,1,3,1520,2187.0,0.835,9206,80.0
1.0,4.0,248,1522,17.0,0,3,1520,2436.0,0.948,9206,36.0
1.0,5.0,248,1519,18.0,0,3,1520,2550.0,0.943,9206,62.0
1.0,6.0,248,1523,12.0,0,3,1521,2562.0,0.927,9206,68.0
1.0,7.0,248,1523,54.0,0,3,1520,2616.0,0.966,9206,26.0
