devittes,sog,faceoff_win_rate,on_keeper_sog_faced,expected_goals_allowed,player,faceoffs_taken,usage_adjusted_EGA,EGA_per_game,shooting_pct,EGA,excess_saves,games_appeared_in,share_of_team_assists,save_pct,turnover_rate,faceoff_EGA,faceoff_wins,team_play_shares,penalties,caused_turnovers,excess_saves_per_sog,goals_allowed,excess_goals_scored,team_ID,assists,goals,offensive_EGA,excess_goals_per_shot,sog_faced,ID,turnovers,team_listed_role,shots_faced,defensive_EGA,faceoff_losses,weighted_team_play_shares,expected_goals_scored,on_keeper_rate_faced,sog_rate,seasons_played,sog_rate_faced,gbs,shots
75.0,112.0,,,,Jared Bernhardt,0.0,2.57513,5.19355,0.489655,83.0967,,16.0,0.179487,,0.404656,0.0,0,0.10084,1.0,8.0,,,5.77227,3,28.0,71.0,75.6728,0.0398088,,1522,24.0,A,,7.42389,0,0.129994,65.2277,,0.772414,5.0,,34.0,145.0
13.0,39.0,,,,Bubba Fairman,0.0,1.54815,1.67825,0.2375,26.852,,16.0,0.0448718,,0.42893,0.189938,0,0.0542017,4.0,5.0,,,-12.6374,3,7.0,19.0,23.5962,-0.157968,,1529,13.0,M,,3.06583,0,0.0664284,31.6374,,0.4875,5.0,,20.0,80.0
-4.0,1.0,0.498127,,,Justin Shockey,250.0,0.933493,2.59652,0.333333,36.3513,,14.0,0.0,,0.147981,36.1069,128,0.139076,1.0,0.0,,,-0.314685,3,0.0,1.0,0.57249,-0.104895,,1518,5.0,M,,-0.328086,122,0.0740563,1.31469,,0.333333,4.0,,72.0,3.0
10.0,12.0,,,,Eric Malever,0.0,2.08641,0.824043,0.375,12.3607,,15.0,0.0897436,,0.755801,0.0,0,0.0197479,1.0,0.0,,,-1.43877,3,14.0,6.0,11.5491,-0.089923,,16151,10.0,A,,0.811542,0,0.0289994,7.43877,,0.75,2.0,,6.0,16.0
-5.0,0.0,,,,Matt Rahill,0.0,1.05945,0.436246,,6.54369,,15.0,0.00641026,,0.512595,0.379876,0,0.0205882,1.0,17.0,,,,3,1.0,0.0,-0.497651,,,1536,6.0,D,,6.66146,0,0.0256551,,,,5.0,,24.0,0.0
-2.0,8.0,,,,Roman Puglise,0.0,0.785414,0.389407,0.230769,6.23051,,16.0,0.00641026,,0.425895,2.27926,0,0.0247899,8.0,4.0,,,-2.52791,3,1.0,3.0,3.20894,-0.194454,,1521,6.0,M,,0.742309,0,0.0308778,5.52791,,0.615385,5.0,,27.0,13.0
-2.0,0.0,,,,Gabe Goforth,0.0,-9.94855,-0.167203,,-0.334405,,2.0,0.0,,4.78422,0.0,0,0.000840336,0.0,0.0,,,,3,0.0,0.0,-0.334405,,,16152,2.0,M,,0.0,0,0.000916254,,,,2.0,,0.0,0.0
,,,,,Matthew Kopp,,,,,,,,,,,,,,,,,,,3,,,,,,16153,,D,,,,,,,,2.0,,,
1.0,2.0,,,,Chase Cope,0.0,3.18817,0.160748,0.333333,0.803741,,5.0,0.0,,0.0,0.0,0,0.00252101,1.0,0.0,,,-0.37096,3,0.0,1.0,0.751951,-0.123653,,2553,0.0,M,,0.0517901,0,0.00304655,1.37096,,0.666667,4.0,,2.0,3.0
46.0,70.0,,,,Logan Wisnauskas,0.0,1.90707,3.07695,0.394231,49.2313,,16.0,0.198718,,0.529994,0.0,0,0.0806723,3.0,2.0,,,-2.98926,3,31.0,41.0,45.0038,-0.0287429,,1520,26.0,M,,4.22744,0,0.107522,43.9893,,0.673077,5.0,,26.0,104.0
0.0,0.0,0.363636,,,Conor Calderone,22.0,2.34676,0.493017,0.0,1.97207,,4.0,0.0,,0.0,1.78184,8,0.0105042,0.0,0.0,,,-0.249031,3,0.0,0.0,0.19023,-0.249031,,2310,0.0,M,,0.0,14,0.00414605,0.249031,,0.0,3.0,,2.0,1.0
1.0,2.0,,,,Jack Sawyer,0.0,5.90845,0.248254,0.333333,0.744763,,3.0,0.0,,0.0,0.0,0,0.00210084,1.0,0.0,,,-0.40909,3,0.0,1.0,0.882911,-0.136363,,16154,0.0,A,,-0.138148,0,0.00247389,1.40909,,0.666667,1.0,,1.0,3.0
27.0,50.0,,,,Anthony DeMaio,0.0,1.84296,1.87393,0.333333,29.9829,,16.0,0.121795,,0.522152,0.0,0,0.0508403,1.0,1.0,,,-7.38976,3,19.0,24.0,27.8664,-0.102636,,1519,16.0,A,,2.11652,0,0.0671614,31.3898,,0.694444,5.0,,12.0,72.0
-1.0,0.0,,,,Justin Sherrer,0.0,0.917017,0.154121,0.0,1.54121,,10.0,0.0,,0.21946,0.189938,0,0.00840336,3.0,8.0,,,-0.23915,3,0.0,0.0,-0.0694997,-0.23915,,1527,1.0,D,,1.42077,0,0.00998717,0.23915,,0.0,3.0,,7.0,1.0
0.0,0.0,,19.0,4.98671,Drew Morris,0.0,-0.211543,-0.0284428,,-0.227542,-1.01329,8.0,0.0,0.5789,0.0,0.0,0,0.00672269,0.0,0.0,-0.0533309,8.0,,3,0.0,0.0,0.0,,19.0,16155,0.0,G,30.0,-0.186596,0,0.00428349,,,,2.0,0.6333,0.0,0.0
3.0,3.0,,,,John Geppert,0.0,1.19965,0.625027,0.5,10.0004,,16.0,0.0192308,,0.131164,3.41888,0,0.0260504,5.0,17.0,,,0.345421,3,3.0,2.0,2.94188,0.0863553,,1535,2.0,D,,3.63968,0,0.0334204,1.65458,,0.75,4.0,,31.0,4.0
0.0,9.0,,,,Jack Koras,0.0,1.93539,0.357804,0.307692,3.57804,,10.0,0.00641026,,0.980373,0.0,0,0.0092437,0.0,0.0,,,-2.05795,3,1.0,4.0,3.00822,-0.158304,,16156,5.0,M,,0.569814,0,0.0111783,6.05795,,0.692308,2.0,,3.0,13.0
29.0,33.0,,,,Kyle Long,0.0,2.28993,1.9628,0.380952,31.4047,,16.0,0.179487,,0.529228,0.189938,0,0.0428571,0.0,3.0,,,-2.58005,3,28.0,16.0,28.2496,-0.0614298,,1525,15.0,M,,2.96524,0,0.062122,18.5801,,0.785714,4.0,,14.0,42.0
,,,,,Garrett Gibbons,,,,,,,,,,,,,,,,,,,3,,,,,,16157,,M,,,,,,,,2.0,,,
0.0,0.0,,6.0,1.14147,Colin Miller,0.0,6.29636,0.158732,,0.158732,-0.858528,1.0,0.0,0.3333,0.0,0.0,0,0.0012605,0.0,0.0,-0.143088,4.0,,3,0.0,0.0,0.0,,6.0,16158,0.0,G,8.0,0.163281,0,0.00105369,,,,1.0,0.75,1.0,0.0
